net,length_um
carry3\[8\],26.005
_0952_,25.98
_2757_,25.98
_3328_,25.98
s3\[8\],25.98
_1701_,25.96
_3591_,25.94
_2523_,25.92
_3214_,25.92
_2847_,25.9
_1407_,25.86
_1350_,25.84
_3512_,25.84
_3827_,25.84
_1017_,25.82
_1921_,25.82
_2544_,25.78
_1550_,25.76
_1669_,25.76
_2289_,25.76
_3723_,25.76
_1533_,25.755
_1916_,25.72
_3508_,25.68
_1230_,25.665
_1564_,25.66
sum5\[11\],25.66
_3332_,25.64
_2014_,25.625
_1966_,25.62
_2382_,25.6
_3966_,25.6
sum3\[13\],25.6
_2400_,25.56
_2587_,25.56
_3869_,25.55
_1114_,25.54
_2271_,25.54
_2337_,25.52
_4071_,25.52
_3713_,25.5
_2350_,25.485
_1838_,25.42
net159,25.405
_2118_,25.4
_0813_,25.38
_1486_,25.38
_1492_,25.35
_0982_,25.34
_1500_,25.34
_3423_,25.285
_0901_,25.28
s4\[7\],25.24
_0069_,25.22
_3518_,25.22
_3982_,25.22
sum2\[11\],25.22
_3112_,25.2
_3856_,25.2
sum5\[10\],25.2
_2515_,25.18
carry5\[12\],25.18
_3459_,25.16
_3812_,25.16
_0763_,25.15
sum2\[5\],25.1
_2578_,25.02
clknet_leaf_1_clk,25.02
_3194_,25
_1577_,24.98
_3145_,24.98
_3446_,24.98
_3218_,24.96
_1839_,24.92
net341,24.92
_1974_,24.9
_1385_,24.86
_1368_,24.84
_0966_,24.82
_3502_,24.82
_3743_,24.81
_2954_,24.8
_3058_,24.8
_3317_,24.785
_1104_,24.78
net396,24.76
_1750_,24.72
_4009_,24.7
_1475_,24.66
_2003_,24.66
_2313_,24.64
_3925_,24.64
sum1\[6\],24.64
_3382_,24.62
_4005_,24.62
_3774_,24.6
_3985_,24.6
_3105_,24.56
_1498_,24.54
_1784_,24.5
_0785_,24.49
_2605_,24.44
_1000_,24.42
_2525_,24.41
_1400_,24.38
_3431_,24.38
_2924_,24.36
_3778_,24.34
_3734_,24.305
carry3\[7\],24.3
_1388_,24.26
_2164_,24.26
_2438_,24.24
_0874_,24.22
_2788_,24.22
_3144_,24.22
_3199_,24.22
_2383_,24.205
_0929_,24.2
_1551_,24.17
_1463_,24.125
_3920_,24.12
_2272_,24.1
_3537_,24.08
_2195_,24.04
_2319_,24.02
_3411_,24
_3656_,24
_3808_,24
_1504_,23.98
_2394_,23.98
_2722_,23.96
bit_sum7\[8\],23.96
_3233_,23.94
_0976_,23.92
_2175_,23.92
_2168_,23.9
sh7\[7\],23.9
_3190_,23.88
net128,23.88
_1458_,23.86
net207,23.86
_1818_,23.82
_4043_,23.82
_3369_,23.8
carry2\[7\],23.78
_0900_,23.76
_1228_,23.76
final_sum\[5\],23.76
_1072_,23.74
_2379_,23.74
sum1\[10\],23.72
sh11\[1\],23.7
_4040_,23.69
_1704_,23.68
_2045_,23.68
_4092_,23.66
_1152_,23.64
_2109_,23.64
_3038_,23.64
_0887_,23.62
_1961_,23.62
_2786_,23.62
clknet_leaf_12_clk,23.62
sh0\[0\],23.54
_1683_,23.52
_2363_,23.52
_1314_,23.5
_2097_,23.5
_4033_,23.5
_2669_,23.48
_1441_,23.47
_2373_,23.46
_3041_,23.46
_2530_,23.44
_3057_,23.44
_2563_,23.4
carry1\[10\],23.4
_1851_,23.385
_2798_,23.38
_3419_,23.36
_3691_,23.36
_0919_,23.32
_1446_,23.3
_4062_,23.3
sh10\[4\],23.29
_3870_,23.28
_2365_,23.24
_3911_,23.24
_1980_,23.22
_2105_,23.22
_2721_,23.2
_2816_,23.2
_2151_,23.18
